poradi;verze;jmeno;Hrano;;;;;Vyhralo;;;;;Sila
933;WA;ObedientBrother;19;/;98;=;19,4%;3;/;19;=;15,8%;0,4
934;FL;ShepherdwithFlock;21;/;74;=;28,4%;2;/;21;=;9,5%;0,4
940;Z;gamedesigner;17;/;152;=;11,2%;4;/;17;=;23,5%;0,4
936;PI;ChiselMaker;23;/;122;=;18,9%;3;/;23;=;13,0%;0,4
937;NL;ConArtist;9;/;65;=;13,8%;2;/;9;=;22,2%;0,4
938;NL;Rationalist2;9;/;64;=;14,1%;2;/;9;=;22,2%;0,4
939;FL;Recluse;8;/;68;=;11,8%;2;/;8;=;25,0%;0,4
935;WM;Amazon;381;/;2851;=;13,4%;82;/;381;=;21,5%;0,4
942;I;cornstorehouse;244;/;3103;=;7,9%;57;/;244;=;23,4%;0,3
943;E;breadseller;224;/;2853;=;7,9%;54;/;224;=;24,1%;0,3
944;I;claydigger;360;/;2849;=;12,6%;69;/;360;=;19,2%;0,3
945;I;milkingshed;330;/;3193;=;10,3%;77;/;329;=;23,4%;0,3
946;O;familysingers;3;/;101;=;3,0%;2;/;3;=;66,7%;0,3
947;O;actionartist;11;/;97;=;11,3%;2;/;11;=;18,2%;0,3
948;E;windmill;345;/;3310;=;10,4%;79;/;345;=;22,9%;0,3
941;WM;FreeRangeChickens;222;/;2978;=;7,5%;64;/;222;=;28,8%;0,3
949;BI;Deaconess;7;/;52;=;13,5%;1;/;7;=;14,3%;0,3
950;WM;Permaculturist;304;/;2740;=;11,1%;63;/;304;=;20,7%;0,3
951;WA;SceneryPainter;10;/;97;=;10,3%;2;/;10;=;20,0%;0,3
952;PI;Footman;20;/;131;=;15,3%;3;/;20;=;15,0%;0,3
953;WA;WellInspector;8;/;93;=;8,6%;2;/;8;=;25,0%;0,3
954;FL;CarrotMuseum;15;/;63;=;23,8%;1;/;15;=;6,7%;0,2
955;FL;EducationalBuilding;20;/;69;=;29,0%;1;/;20;=;5,0%;0,2
956;WA;MarlyMachine;18;/;92;=;19,6%;1;/;18;=;5,6%;0,2
957;FL;WoodenDraisine;14;/;68;=;20,6%;1;/;14;=;7,1%;0,2
958;E;stablemaster;140;/;2876;=;4,9%;35;/;140;=;25,0%;0,2
959;E;turner;185;/;2906;=;6,4%;48;/;185;=;25,9%;0,2
960;E;shepherd;164;/;2810;=;5,8%;41;/;163;=;25,2%;0,2
961;G;mooch;31;/;544;=;5,7%;9;/;31;=;29,0%;0,2
962;G;opportunist;38;/;544;=;7,0%;8;/;38;=;21,1%;0,2
963;I;holidayhouse;136;/;3060;=;4,4%;33;/;136;=;24,3%;0,2
964;I;midwife;190;/;2846;=;6,7%;43;/;190;=;22,6%;0,2
965;I;pigcatcher;129;/;2806;=;4,6%;33;/;128;=;25,8%;0,2
966;K;smallholder;177;/;2865;=;6,2%;44;/;177;=;24,9%;0,2
967;K;animaltrainer;247;/;3026;=;8,2%;50;/;246;=;20,3%;0,2
968;Z;wagenburg;9;/;116;=;7,8%;2;/;9;=;22,2%;0,2
978;Z;gentleman;21;/;126;=;16,7%;2;/;21;=;9,5%;0,2
970;FL;RoughBaker;18;/;60;=;30,0%;1;/;18;=;5,6%;0,2
971;FL;SchoolDropout;18;/;73;=;24,7%;1;/;18;=;5,6%;0,2
972;FL;Sculptor;13;/;70;=;18,6%;1;/;13;=;7,7%;0,2
973;FL;VegetableSeller;6;/;63;=;9,5%;1;/;6;=;16,7%;0,2
974;FL;NorthSeaFisherman;9;/;72;=;12,5%;1;/;9;=;11,1%;0,2
975;NL;SalvationArmyOfficer;9;/;83;=;10,8%;1;/;9;=;11,1%;0,2
976;FL;ChansonSinger;12;/;75;=;16,0%;1;/;12;=;8,3%;0,2
977;NL;CheeseCarrier;4;/;78;=;5,1%;1;/;4;=;25,0%;0,2
969;WM;Pawnbroker;139;/;2691;=;5,2%;46;/;139;=;33,1%;0,2
979;E;masterbaker;122;/;2926;=;4,2%;22;/;122;=;18,0%;0,1
980;I;butcher;63;/;2677;=;2,4%;19;/;63;=;30,2%;0,1
981;I;fieldworker;98;/;2753;=;3,6%;23;/;98;=;23,5%;0,1
982;O;environmentalist;20;/;131;=;15,3%;1;/;20;=;5,0%;0,1
983;O;lovablevagabond;6;/;123;=;4,9%;1;/;6;=;16,7%;0,1
984;O;bigbacker;10;/;104;=;9,6%;1;/;10;=;10,0%;0,1
985;I;watermill;54;/;3113;=;1,7%;14;/;54;=;25,9%;0,1
986;WA;SodaProducer;7;/;97;=;7,2%;1;/;7;=;14,3%;0,1
987;WA;BeggingLetter;3;/;24;=;12,5%;0;/;3;=;0,0%;0
988;NL;DutchWindmill;3;/;70;=;4,3%;0;/;3;=;0,0%;0
989;WA;IslandsofPeace;4;/;85;=;4,7%;0;/;4;=;0,0%;0
990;FL;Rainmaker;4;/;61;=;6,6%;0;/;4;=;0,0%;0
991;FL;CafeSinger;5;/;70;=;7,1%;0;/;5;=;0,0%;0
992;NL;Gauger;2;/;69;=;2,9%;0;/;2;=;0,0%;0
